book,asin,keyword,relevant,found,organic_rank,page,sponsored_seen,results_scanned,status
The Absconding,B0HDWRVSXQ,New England folklore mystery,True,False,,,False,74,not_found_after_5_pages_74_organic_results
The Correction,B0HFV8KCVL,New England folklore mystery,False,False,,,False,74,not_found_after_5_pages_74_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,beekeeping small town mystery,False,False,,,False,12,not_found_after_1_pages_12_organic_results
Second Draft,B0HFYQ9KGV,beekeeping small town mystery,False,False,,,False,12,not_found_after_1_pages_12_organic_results
The Hollow Year,B0HFXF8MTP,beekeeping small town mystery,False,False,,,False,12,not_found_after_1_pages_12_organic_results
The Absconding,B0HDWRVSXQ,beekeeping small town mystery,True,False,,,False,12,not_found_after_1_pages_12_organic_results
The Correction,B0HFV8KCVL,beekeeping small town mystery,False,False,,,False,12,not_found_after_1_pages_12_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,environmental conspiracy mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
Second Draft,B0HFYQ9KGV,environmental conspiracy mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Year,B0HFXF8MTP,environmental conspiracy mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Absconding,B0HDWRVSXQ,environmental conspiracy mystery,True,False,,,False,80,not_found_after_5_pages_80_organic_results
The Correction,B0HFV8KCVL,environmental conspiracy mystery,False,False,,,False,80,not_found_after_5_pages_80_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,archive mystery,False,False,,,False,75,not_found_after_5_pages_75_organic_results
Second Draft,B0HFYQ9KGV,archive mystery,False,False,,,False,75,not_found_after_5_pages_75_organic_results
The Hollow Year,B0HFXF8MTP,archive mystery,False,False,,,False,75,not_found_after_5_pages_75_organic_results
The Absconding,B0HDWRVSXQ,archive mystery,False,False,,,False,75,not_found_after_5_pages_75_organic_results
The Correction,B0HFV8KCVL,archive mystery,True,False,,,False,75,not_found_after_5_pages_75_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,archive conspiracy mystery,False,False,,,False,63,not_found_after_4_pages_63_organic_results
Second Draft,B0HFYQ9KGV,archive conspiracy mystery,False,False,,,False,63,not_found_after_4_pages_63_organic_results
The Hollow Year,B0HFXF8MTP,archive conspiracy mystery,False,False,,,False,63,not_found_after_4_pages_63_organic_results
The Absconding,B0HDWRVSXQ,archive conspiracy mystery,False,False,,,False,63,not_found_after_4_pages_63_organic_results
The Correction,B0HFV8KCVL,archive conspiracy mystery,True,False,,,False,63,not_found_after_4_pages_63_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,altered records psychological mystery,False,False,,,False,22,not_found_after_2_pages_22_organic_results
Second Draft,B0HFYQ9KGV,altered records psychological mystery,False,False,,,False,22,not_found_after_2_pages_22_organic_results
The Hollow Year,B0HFXF8MTP,altered records psychological mystery,False,False,,,False,22,not_found_after_2_pages_22_organic_results
The Absconding,B0HDWRVSXQ,altered records psychological mystery,False,False,,,False,22,not_found_after_2_pages_22_organic_results
The Correction,B0HFV8KCVL,altered records psychological mystery,True,False,,,False,22,not_found_after_2_pages_22_organic_results
The Hollow Bell — Full Novel,B0HD52HGGZ,memory manipulation mystery,False,False,,,False,79,not_found_after_5_pages_79_organic_results
Second Draft,B0HFYQ9KGV,memory manipulation mystery,False,False,,,False,79,not_found_after_5_pages_79_organic_results
The Hollow Year,B0HFXF8MTP,memory manipulation mystery,False,False,,,False,79,not_found_after_5_pages_79_organic_results
The Absconding,B0HDWRVSXQ,memory manipulation mystery,False,False,,,False,79,not_found_after_5_pages_79_organic_results
The Correction,B0HFV8KCVL,memory manipulation mystery,True,False,,,False,79,not_found_after_5_pages_79_organic_results
